Tree	-lnL	R(a)	R(b)	R(c)	R(d)	R(e)	gamma shape	Site	-lnL
								1	1.96382185
								2	1.81565867
								3	1.81565867
								4	1.81565867
								5	1.24881962
								6	1.81565867
								7	1.96382185
								8	1.81565867
								9	1.24881962
								10	1.96382185
								11	1.57106558
								12	1.81565867
								13	1.81565867
								14	1.24881962
								15	1.08763085
								16	4.54850753
								17	6.39137941
								18	1.57106558
								19	1.24881962
								20	1.24881962
								21	1.24881962
								22	1.96382185
								23	1.57106558
								24	1.24881962
								25	1.24881962
								26	6.75532612
								27	1.24881962
								28	1.57106558
								29	1.24881962
								30	1.57106558
								31	1.81565867
								32	1.96382185
								33	1.24881962
								34	1.24881962
								35	1.24881962
								36	1.24881962
								37	1.81565867
								38	1.96382185
								39	1.81565867
								40	5.13680679
								41	8.68740832
								42	10.45205379
								43	1.96382185
								44	1.24881962
								45	4.54850753
								46	1.19917733
								47	1.64730125
								48	1.57106558
								49	5.94077289
								50	1.57106558
								51	1.57106558
								52	1.57106558
								53	1.57106558
								54	1.24881962
								55	1.81565867
								56	1.24881962
								57	1.24881962
								58	1.24881962
								59	1.57106558
								60	1.24881962
								61	1.24881962
								62	1.24881962
								63	6.74920049
								64	1.24881962
								65	1.96382185
								66	1.96382185
								67	1.81565867
								68	1.81565867
								69	1.81565867
								70	1.96382185
								71	1.96382185
								72	1.81565867
								73	1.57106558
								74	1.57106558
								75	1.81565867
								76	1.24881962
								77	1.96382185
								78	1.57106558
								79	1.57106558
								80	1.81565867
								81	1.81565867
								82	1.81565867
								83	1.57106558
								84	1.81565867
								85	1.24881962
								86	1.81565867
								87	1.81565867
								88	1.24881962
								89	5.99266848
								90	1.57106558
								91	6.75231280
								92	1.57106558
								93	4.52097175
								94	1.81565867
								95	4.63791199
								96	1.96382185
								97	4.52097175
								98	4.83244836
								99	5.77034413
								100	1.96382185
								101	1.24881962
								102	1.81565867
								103	1.81565867
								104	1.24881962
								105	1.57106558
								106	1.24881962
								107	1.57106558
								108	1.24881962
								109	1.81565867
								110	1.96382185
								111	1.57106558
								112	1.24881962
								113	1.24881962
								114	1.96382185
								115	1.57106558
								116	1.24881962
								117	1.81565867
								118	1.57106558
								119	1.57106558
								120	1.57106558
								121	1.57106558
								122	1.96382185
								123	5.73483931
								124	5.73483931
								125	1.57106558
								126	1.57106558
								127	7.82380076
								128	1.96382185
								129	1.81565867
								130	1.96382185
								131	5.51696049
								132	1.81565867
								133	1.57106558
								134	5.94077289
								135	1.57106558
								136	1.57106558
								137	1.57106558
								138	1.81565867
								139	4.38142560
								140	5.13680679
								141	1.24881962
								142	1.24881962
								143	4.83244836
								144	4.70487484
								145	1.57106558
								146	6.10779085
								147	1.30552608
								148	6.97054312
								149	1.96382185
								150	1.24881962
								151	4.70487484
								152	4.54850753
								153	1.24881962
								154	1.24881962
								155	4.83244836
								156	1.24881962
								157	1.96382185
								158	1.96382185
								159	1.24881962
								160	4.63791199
								161	1.57106558
								162	1.24881962
								163	4.63791199
								164	1.96382185
								165	6.62911643
								166	1.24881962
								167	1.81565867
								168	1.57106558
								169	1.24881962
								170	1.24881962
								171	1.96382185
								172	5.44265426
								173	1.24881962
								174	1.57106558
								175	1.96382185
								176	1.57106558
								177	1.24881962
								178	5.02465091
								179	8.40070212
								180	1.24881962
								181	1.24881962
								182	4.70487484
								183	1.96382185
								184	1.57106558
								185	1.24881962
								186	1.96382185
								187	1.57106558
								188	1.81565867
								189	1.57106558
								190	1.24881962
								191	1.24881962
								192	4.83244836
								193	1.24881962
								194	1.57106558
								195	4.80366340
								196	1.57106558
								197	4.52097175
								198	4.52097175
								199	6.24250929
								200	1.96382185
								201	1.57106558
								202	1.57106558
								203	1.81565867
								204	1.24881962
								205	1.96382185
								206	1.57106558
								207	1.57106558
								208	1.24881962
								209	1.57106558
								210	1.24881962
								211	1.57106558
								212	1.57106558
								213	1.57106558
								214	1.57106558
								215	1.57106558
								216	1.24881962
								217	1.57106558
								218	1.96382185
								219	1.96382185
								220	1.96382185
								221	1.24881962
								222	6.30911158
								223	1.24881962
								224	1.57106558
								225	1.24881962
								226	1.96382185
								227	1.57106558
								228	1.24881962
								229	1.96382185
