Tree	-lnL	R(a)	R(b)	R(c)	R(d)	R(e)	gamma shape	Site	-lnL
								2000	1.41023868
								2001	1.71609329
								2002	1.41023868
								2003	1.41023868
								2004	1.71609329
								2005	1.48533494
								2006	1.41023868
								2007	1.48533494
								2008	1.71609329
								2009	1.71609329
								2010	2.22615249
								2011	1.71609329
								2012	1.71609329
								2013	1.48533494
								2014	4.45188375
								2015	1.71609329
								2016	1.71609329
								2017	1.41023868
								2018	1.41023868
								2019	1.41023868
								2020	1.71609329
								2021	5.66034945
								2022	5.12503765
								2023	2.22615249
								2024	2.22615249
								2025	1.41023868
								2026	1.48533494
								2027	5.62110631
								2028	5.27763575
								2029	2.22615249
								2030	1.71609329
								2031	1.41023868
								2032	1.71609329
								2033	2.22615249
								2034	1.41023868
								2035	1.41023868
								2036	1.71609329
								2037	2.22615249
								2038	2.22615249
								2039	1.48533494
								2040	1.71609329
								2041	1.48533494
								2042	1.48533494
								2043	1.41023868
								2044	1.48533494
								2045	2.22615249
								2046	1.41023868
								2047	2.22615249
								2048	2.22615249
								2049	2.22615249
								2050	1.71609329
								2051	1.71609329
								2052	5.25850592
								2053	4.74011794
								2054	5.12503765
								2055	1.48533494
								2056	1.71609329
								2057	2.22615249
								2058	1.71609329
								2059	1.48533494
								2060	1.71609329
								2061	1.48533494
								2062	1.71609329
								2063	1.71609329
								2064	1.41023868
								2065	1.48533494
								2066	1.71609329
								2067	1.71609329
								2068	1.71609329
								2069	6.32381087
								2070	5.39740323
								2071	1.41023868
								2072	1.48533494
								2073	1.48533494
								2074	1.41023868
								2075	2.22615249
								2076	1.71609329
								2077	2.22615249
								2078	1.41023868
								2079	1.41023868
								2080	1.41023868
								2081	1.71609329
								2082	1.71609329
								2083	2.22615249
								2084	1.41023868
								2085	1.48533494
								2086	1.48533494
								2087	1.71609329
								2088	5.99833635
								2089	4.33981954
								2090	1.48533494
								2091	1.48533494
								2092	2.22615249
								2093	1.71609329
								2094	2.22615249
								2095	1.41023868
								2096	1.41023868
								2097	2.22615249
								2098	1.41023868
								2099	2.22615249
								2100	2.22615249
								2101	1.48533494
								2102	2.22615249
								2103	2.22615249
								2104	6.67900427
								2105	1.48533494
								2106	1.41023868
								2107	1.71609329
								2108	1.41023868
								2109	1.41023868
								2110	1.48533494
								2111	6.10704270
								2112	5.62110631
								2113	1.41023868
								2114	6.09597627
								2115	1.48533494
								2116	1.41023868
								2117	1.41023868
								2118	2.22615249
								2119	1.41023868
								2120	1.48533494
								2121	2.22615249
								2122	1.41023868
								2123	2.22615249
								2124	1.41023868
								2125	1.41023868
								2126	2.22615249
								2127	1.41023868
								2128	1.48533494
								2129	1.48533494
								2130	1.48533494
								2131	1.71609329
								2132	1.41023868
								2133	1.71609329
								2134	2.22615249
								2135	2.22615249
								2136	1.41023868
								2137	2.22615249
								2138	1.48533494
								2139	1.71609329
								2140	1.71609329
								2141	4.58680797
								2142	1.41023868
								2143	4.62823959
								2144	1.71609329
								2145	5.02512084
								2146	6.63020673
								2147	1.41023868
								2148	4.58680797
								2149	5.02512084
								2150	1.41023868
								2151	4.74011794
								2152	1.71609329
								2153	2.22615249
								2154	1.48533494
								2155	1.41023868
								2156	1.41023868
								2157	5.39740323
								2158	4.45188375
								2159	1.41023868
								2160	5.72558926
								2161	5.68353765
								2162	1.41023868
								2163	5.07384644
								2164	9.20578390
								2165	4.46495192
								2166	1.41023868
								2167	1.41023868
								2168	6.03714691
								2169	1.41023868
								2170	1.41023868
								2171	4.74011794
								2172	1.48533494
								2173	1.48533494
								2174	8.38110974
								2175	1.41023868
								2176	1.48533494
								2177	1.41023868
								2178	2.22615249
								2179	2.22615249
								2180	4.58680797
								2181	1.48533494
								2182	6.35390951
								2183	1.71609329
								2184	1.41023868
								2185	1.41023868
								2186	6.94201761
								2187	5.07384644
								2188	4.58680797
								2189	1.41023868
								2190	6.48836557
								2191	6.48836557
								2192	1.41023868
								2193	1.41023868
								2194	1.41023868
								2195	1.48533494
								2196	1.48533494
								2197	1.71609329
								2198	2.22615249
								2199	1.48533494
								2200	1.41023868
								2201	4.58680797
								2202	4.46495192
								2203	5.66034945
								2204	1.41023868
								2205	1.41023868
								2206	5.66034945
								2207	1.41023868
								2208	4.46495192
								2209	1.71609329
								2210	1.71609329
								2211	1.48533494
								2212	2.22615249
								2213	2.22615249
								2214	1.71609329
								2215	1.71609329
								2216	2.22615249
								2217	2.22615249
								2218	2.22615249
								2219	2.22615249
								2220	1.48533494
								2221	2.22615249
								2222	1.41023868
								2223	1.48533494
								2224	1.48533494
								2225	1.71609329
								2226	1.48533494
								2227	2.22615249
								2228	2.22615249
								2229	1.41023868
								2230	2.22615249
								2231	6.06608536
								2232	1.41023868
								2233	11.75928603
								2234	1.41023868
								2235	4.62823959
								2236	8.20827333
								2237	1.48533494
								2238	6.03714691
								2239	1.41023868
								2240	1.41023868
								2241	1.48533494
								2242	1.48533494
								2243	1.71609329
								2244	1.48533494
								2245	1.48533494
								2246	2.22615249
								2247	1.41023868
								2248	5.85894960
								2249	6.51048470
								2250	1.41023868
								2251	7.23362592
								2252	6.09138592
								2253	1.41023868
								2254	4.33981954
								2255	1.41023868
								2256	1.71609329
								2257	2.22615249
								2258	4.45188375
								2259	5.27763575
								2260	1.41023868
								2261	1.41023868
								2262	2.22615249
								2263	1.41023868
								2264	1.48533494
								2265	6.32381087
								2266	7.13388077
								2267	1.48533494
								2268	1.41023868
								2269	1.48533494
								2270	6.51048470
								2271	1.41023868
								2272	2.22615249
								2273	1.71609329
								2274	1.48533494
								2275	1.41023868
								2276	1.41023868
								2277	1.41023868
								2278	5.45961543
								2279	1.48533494
								2280	5.12503765
								2281	1.41023868
								2282	5.39740323
								2283	8.38110974
								2284	4.46495192
								2285	8.24135249
								2286	1.48533494
								2287	5.68353765
								2288	1.41023868
								2289	6.45955976
								2290	4.62823959
								2291	6.54878340
								2292	11.29911791
								2293	5.11037400
								2294	1.41023868
								2295	1.41023868
								2296	1.71609329
								2297	1.71609329
								2298	2.22615249
								2299	1.41023868
								2300	4.46495192
								2301	1.48533494
								2302	1.48533494
								2303	1.41023868
								2304	1.41023868
								2305	1.71609329
								2306	5.39740323
								2307	1.41023868
								2308	1.48533494
								2309	1.71609329
								2310	1.71609329
								2311	2.22615249
								2312	1.41023868
								2313	4.33981954
								2314	1.48533494
								2315	1.41023868
								2316	1.41023868
								2317	1.48533494
								2318	2.22615249
								2319	2.22615249
								2320	1.41023868
								2321	1.41023868
								2322	1.48533494
								2323	1.41023868
								2324	1.41023868
								2325	2.22615249
								2326	1.71609329
								2327	1.71609329
								2328	1.41023868
								2329	1.48533494
								2330	1.48533494
								2331	1.48533494
								2332	1.71609329
								2333	1.41023868
								2334	2.22615249
								2335	2.22615249
								2336	2.22615249
								2337	1.41023868
								2338	1.71609329
								2339	1.41023868
								2340	1.41023868
								2341	1.48533494
								2342	1.41023868
								2343	2.22615249
								2344	1.48533494
								2345	2.22615249
								2346	1.48533494
								2347	1.41023868
								2348	1.41023868
								2349	1.71609329
								2350	1.48533494
								2351	1.48533494
								2352	1.71609329
								2353	4.74011794
								2354	1.71609329
								2355	1.71609329
								2356	1.48533494
								2357	5.42448140
								2358	1.41023868
								2359	2.22615249
								2360	1.41023868
								2361	2.22615249
								2362	1.71609329
								2363	1.48533494
								2364	1.48533494
								2365	1.41023868
								2366	1.71609329
								2367	1.41023868
								2368	1.71609329
								2369	1.48533494
								2370	1.41023868
								2371	1.41023868
								2372	1.48533494
								2373	4.74011794
								2374	5.39740323
								2375	4.58680797
								2376	1.41023868
								2377	2.22615249
								2378	2.22615249
								2379	2.22615249
								2380	1.71609329
								2381	1.71609329
								2382	1.71609329
								2383	1.41023868
								2384	1.48533494
								2385	2.22615249
								2386	1.41023868
								2387	1.48533494
								2388	1.48533494
								2389	1.71609329
								2390	1.48533494
